timestamp,time,id,channel,temperature,humidity,strike_count,storm_dist,active,rfi,ussb1,battery,exception,raw_msg,Console (Miles)
1536263521434,2018-09-06 19:52:01,14052,B,81.7,57,14,20,1,0,0,OK,0,b6e46f39d28d8e1443,15
1536263529303,2018-09-06 19:52:09,14052,B,81.7,57,14,20,1,0,0,OK,0,b6e46f39d28d8e1443,
1536263530345,2018-09-06 19:52:10,228,C,83.6,59,6,20,1,0,0,OK,0,00e46fbbd2a006149a,
1536263537681,2018-09-06 19:52:17,14052,B,81.7,57,14,20,1,0,0,OK,0,b6e46f39d28d8e1443,
1536263546079,2018-09-06 19:52:26,228,C,83.6,59,6,20,1,0,0,OK,0,00e46fbbd2a006149a,
1536263553413,2018-09-06 19:52:33,14052,B,81.5,57,14,20,1,0,0,OK,0,b6e46f39d28b8e1441,
1536263554469,2018-09-06 19:52:34,228,C,83.6,59,6,20,1,0,0,OK,0,00e46fbbd2a006149a,
1536263561250,2018-09-06 19:52:41,14052,B,81.5,57,14,10,1,0,1,OK,0,b6e46f39d28b8ecaf7,7
1536263562330,2018-09-06 19:52:42,228,C,83.6,59,6,20,1,1,0,OK,0,00e46fbbd2a006b43a,
1536263569634,2018-09-06 19:52:49,14052,B,81.5,57,14,10,1,0,1,OK,0,b6e46f39d28b8ecaf7,
1536263570161,2018-09-06 19:52:50,228,C,83.3,59,6,20,1,1,0,OK,0,00e46fbbd21d06b4b7,
1536263577526,2018-09-06 19:52:57,14052,B,81.5,57,14,10,1,0,1,OK,0,b6e46f39d28b8ecaf7,
1536263578577,2018-09-06 19:52:58,228,C,83.3,59,6,20,1,0,0,OK,0,00e46fbbd21d061417,
1536263586420,2018-09-06 19:53:06,228,C,83.3,59,6,20,1,0,0,OK,0,00e46fbbd21d061417,
1536263593259,2018-09-06 19:53:13,14052,B,81.3,58,14,10,1,0,1,OK,0,b6e46f3ad2098eca76,
1536263594309,2018-09-06 19:53:14,228,C,83.3,59,6,20,1,0,0,OK,0,00e46fbbd21d061417,
1536263601615,2018-09-06 19:53:21,14052,B,81.3,58,14,10,1,0,1,OK,0,b6e46f3ad2098eca76,
1536263602172,2018-09-06 19:53:22,228,C,83.3,59,6,20,1,1,0,OK,0,00e46fbbd21d06b4b7,
1536263609510,2018-09-06 19:53:29,14052,B,81.3,58,14,10,1,0,1,OK,0,b6e46f3ad2098eca76,
1536263611056,2018-09-06 19:53:31,228,C,83.3,59,6,20,1,0,0,OK,0,00e46fbbd21d061417,
1536263617456,2018-09-06 19:53:37,14052,B,80.9,58,14,10,1,0,1,OK,0,b6e46f3ad2058eca72,
1536263625242,2018-09-06 19:53:45,14052,B,80.9,58,14,10,1,0,1,OK,0,b6e46f3ad2058eca72,
1536263626287,2018-09-06 19:53:46,228,C,83.1,59,6,20,1,0,0,OK,0,00e46fbbd21b061415,
1536263641465,2018-09-06 19:54:01,14052,B,80.8,58,14,10,1,0,1,OK,0,b6e46f3ad2848ecaf1,
1536263642549,2018-09-06 19:54:02,228,C,83.1,59,7,17,1,0,0,OK,0,00e46fbbd21b871193,
1536263650380,2018-09-06 19:54:10,228,C,83.1,59,7,17,1,1,0,OK,0,00e46fbbd21b87b133,
1536263657744,2018-09-06 19:54:17,14052,B,80.8,58,14,10,1,0,1,OK,0,b6e46f3ad2848ecaf1,
1536263658244,2018-09-06 19:54:18,228,C,83.1,59,7,17,1,0,0,OK,0,00e46fbbd21b871193,
1536263665610,2018-09-06 19:54:25,14052,B,80.8,58,14,10,1,1,1,OK,0,b6e46f3ad2848e6a91,
1536263673476,2018-09-06 19:54:33,14052,B,80.8,58,14,10,1,0,1,OK,0,b6e46f3ad2848ecaf1,
1536263681834,2018-09-06 19:54:41,14052,B,80.8,58,14,10,1,1,1,OK,0,b6e46f3ad2848e6a91,
1536263682454,2018-09-06 19:54:42,228,C,82.7,60,7,17,1,1,0,OK,0,00e46f3cd21787b1b0,
1536263689733,2018-09-06 19:54:49,14052,B,80.6,58,14,10,1,1,1,OK,0,b6e46f3ad2828e6a8f,
1536263690271,2018-09-06 19:54:50,228,C,82.4,60,7,17,1,0,0,OK,0,00e46f3cd21487110d,
1536263697587,2018-09-06 19:54:57,14052,B,80.6,58,14,10,1,0,1,OK,0,b6e46f3ad2828ecaef,
1536263705466,2018-09-06 19:55:05,14052,B,80.6,58,15,10,1,0,0,OK,0,b6e46f3ad2820f0ab0,
1536263713324,2018-09-06 19:55:13,14052,B,80.2,58,15,10,1,0,0,OK,0,b6e46f3ad17e0f0aab,7
1536263714370,2018-09-06 19:55:14,228,C,82.2,60,7,8,1,1,1,OK,0,00e46f3cd21287e8e2,
1536263721712,2018-09-06 19:55:21,14052,B,80.2,58,15,10,1,0,0,OK,0,b6e46f3ad17e0f0aab,
1536263722211,2018-09-06 19:55:22,228,C,82.2,60,7,8,1,0,1,OK,0,00e46f3cd212874842,
1536263729579,2018-09-06 19:55:29,14052,B,80.2,58,15,10,1,0,0,OK,0,b6e46f3ad17e0f0aab,
1536263730071,2018-09-06 19:55:30,228,C,82.2,60,7,8,1,0,1,OK,0,00e46f3cd212874842,
1536263737409,2018-09-06 19:55:37,14052,B,80,58,15,10,1,0,0,OK,0,b6e46f3ad1fc0f0a29,
1536263738487,2018-09-06 19:55:38,228,C,81.8,62,8,8,1,0,0,OK,0,00e46fbed28e888881,
1536263745312,2018-09-06 19:55:45,14052,B,80,58,15,10,1,0,0,OK,0,b6e46f3ad1fc0f0a29,
1536263746348,2018-09-06 19:55:46,228,C,81.8,62,8,8,1,0,0,OK,0,00e46fbed28e888881,
1536263762155,2018-09-06 19:56:02,228,C,81.7,63,8,8,1,0,0,OK,0,00e46f3fd28d888801,
1536263769391,2018-09-06 19:56:09,14052,B,80,59,15,10,1,1,0,OK,0,b6e46fbbd1fc0faa4a,
1536263770540,2018-09-06 19:56:10,228,C,81.7,63,8,8,1,0,0,OK,0,00e46f3fd28d888801,
1536263778335,2018-09-06 19:56:18,228,C,81.7,63,8,8,1,1,0,OK,0,00e46f3fd28d8828a1,
1536263786170,2018-09-06 19:56:26,228,C,81.7,64,8,8,1,1,0,OK,0,00e46fc0d28d882822,
1536263794040,2018-09-06 19:56:34,228,C,81.7,64,8,8,1,0,0,OK,0,00e46fc0d28d888882,
1536263801474,2018-09-06 19:56:41,14052,B,79.9,59,15,10,1,0,0,OK,0,b6e46fbbd17b0f0a29,
1536263802458,2018-09-06 19:56:42,228,C,81.7,64,8,8,1,1,0,OK,0,00e46fc0d28d882822,
1536263809407,2018-09-06 19:56:49,14052,B,79.5,59,15,10,1,1,0,OK,0,b6e46fbbd1770faac5,
1536263817651,2018-09-06 19:56:57,14052,B,79.5,59,15,10,1,0,0,OK,0,b6e46fbbd1770f0a25,
1536263825530,2018-09-06 19:57:05,14052,B,79.5,59,15,10,1,0,0,OK,0,b6e46fbbd1770f0a25,
1536263833358,2018-09-06 19:57:13,14052,B,79.3,61,15,10,1,0,0,OK,0,b6e46fbdd1f50f0aa5,
1536263834444,2018-09-06 19:57:14,228,C,81.1,64,8,8,1,1,0,OK,0,00e46fc0d28788281c,
1536263841249,2018-09-06 19:57:21,14052,B,79.3,61,15,10,1,0,0,OK,0,b6e46fbdd1f50f0aa5,
1536263842302,2018-09-06 19:57:22,228,C,81.1,64,8,8,1,1,0,OK,0,00e46fc0d28788281c,
1536263850135,2018-09-06 19:57:30,228,C,81.1,64,8,8,1,0,0,OK,0,00e46fc0d28788887c,
1536263857501,2018-09-06 19:57:37,14052,B,79.3,61,15,10,1,1,0,OK,0,b6e46fbdd1f50faa45,
1536263865372,2018-09-06 19:57:45,14052,B,79.3,61,15,10,1,0,0,OK,0,b6e46fbdd1f50f0aa5,
1536263866382,2018-09-06 19:57:46,228,C,81.1,64,8,8,1,0,1,OK,0,00e46fc0d28788483c,
1536263873234,2018-09-06 19:57:53,14052,B,79.3,61,15,10,1,0,0,OK,0,b6e46fbdd1f50f0aa5,
1536263890533,2018-09-06 19:58:10,228,C,80.9,64,8,8,1,0,1,OK,0,00e46fc0d2058848ba,
